Date : 2024-01-06 20:50:49
Directory : c:\Development\Projects\builder\frontend\svelte-app\__tests__
Total : 96 files,  -16243 codes, -146 comments, -604 blanks, all -16993 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Development\Projects\builder\frontend\svelte-app\postcss.config.cjs                                                              | JavaScript         |         -6 |          0 |         -2 |         -8 |
| c:\Development\Projects\builder\frontend\svelte-app\public\index.html                                                               | HTML               |        -14 |          0 |         -3 |        -17 |
| c:\Development\Projects\builder\frontend\svelte-app\rollup.config.js                                                                | JavaScript         |        -73 |          0 |         -4 |        -77 |
| c:\Development\Projects\builder\frontend\svelte-app\src\App.svelte                                                                  | Svelte             |         -9 |          0 |         -2 |        -11 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\BaseModal.svelte                                                 | Svelte             |        -61 |         -1 |         -8 |        -70 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\ErrorModal.svelte                                                | Svelte             |        -51 |          0 |        -11 |        -62 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\LoginRegisterModal.svelte                                        | Svelte             |       -603 |        -14 |        -43 |       -660 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\TopBar.svelte                                                    | Svelte             |        -30 |          0 |         -7 |        -37 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\base\DotsMenu.svelte                                             | Svelte             |        -48 |          0 |         -8 |        -56 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\BuilderOptions.svelte                                    | Svelte             |        -45 |          0 |         -4 |        -49 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\MainContent.svelte                                       | Svelte             |        -11 |          0 |         -3 |        -14 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\OptionsContent.svelte                                    | Svelte             |        -13 |          0 |         -3 |        -16 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\ProBuilderOptions.svelte                                 | Svelte             |        -63 |          0 |         -5 |        -68 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\EditProgramMain.svelte                              | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\PreMadeProgramMain.svelte                           | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\SavedTemplatesMain.svelte                           | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\SimpleProgram.svelte                                | Svelte             |        -56 |          0 |         -9 |        -65 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\BlockUtils.ts                                | TypeScript         |        -44 |         -6 |         -7 |        -57 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\CellBlock.svelte                             | Svelte             |        -21 |          0 |         -3 |        -24 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\Day.svelte                                   | Svelte             |        -16 |         -1 |         -5 |        -22 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\ExerciseName.svelte                          | Svelte             |        -29 |         -1 |         -5 |        -35 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\Keys.svelte                                  | Svelte             |        -19 |          0 |         -3 |        -22 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\Session.svelte                               | Svelte             |        -10 |         -1 |         -3 |        -14 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\Start.svelte                                 | Svelte             |        -11 |          0 |         -3 |        -14 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\EditProgramOptions.svelte                        | Svelte             |          0 |          0 |         -1 |         -1 |
| c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\FileOptions.svelte                               | Svelte             |        -14 |          0 |         -2 |        -16 |
