"filename", "language", "JSON", "JavaScript", "Docker", "TypeScript", "JSON with Comments", "CSS", "HTML", "Svelte", "Markdown", "XML", "comment", "blank", "total"
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\BlockUtils.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 7, 57
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\CellBlock.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\Day.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 5, 22
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\ExerciseName.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 5, 35
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\Keys.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\Session.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 3, 14
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\main\blocks\Start.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\EditProgramOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\FileOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\PreMadeProgramsOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\SavedTemplatesOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\options\SimpleProgramOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 8, 7, 105
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\ProMainSimple.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\ProOptionsSimple.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\main\SimpleClientMain.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 6, 12, 127
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\main\components\ProgramNotes.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 10, 75
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\options\SimpleClientOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 3, 14, 158
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\options\SimpleExerciseOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\options\SimpleFinalOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\professional\simple\options\SimpleTemplateOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\solo\SoloMain.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\components\builder\solo\SoloOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\CardLayout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 6, 42
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\DashboardOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\Sidebar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 3, 7, 75
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\UserStats.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 6, 4, 62
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\Workout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\goals\Goals.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 3, 18, 143
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\goals\ManageGoal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 8, 81
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\goals\NewGoal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 13, 113
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\goals\types.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 5, 39
"c:\Development\Projects\builder\frontend\svelte-app\src\components\dashboard\utils\dashboardStore.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 5
"c:\Development\Projects\builder\frontend\svelte-app\src\global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Development\Projects\builder\frontend\svelte-app\src\layouts\Layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 240, 0, 0, 3, 27, 270
"c:\Development\Projects\builder\frontend\svelte-app\src\layouts\SubOptions.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 8, 40
"c:\Development\Projects\builder\frontend\svelte-app\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Development\Projects\builder\frontend\svelte-app\src\pages\Builder.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 1, 13, 93
"c:\Development\Projects\builder\frontend\svelte-app\src\pages\Dashboard.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Development\Projects\builder\frontend\svelte-app\src\pages\ProBuilder.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 1, 13, 81
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\builderStore.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 9, 33
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\clientStore.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 7, 31
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\globalStore.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 8, 52
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\messageStore.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 7, 33
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\modalStore.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Development\Projects\builder\frontend\svelte-app\src\stores\proBuilderStore.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
